002193.SZ,002633.SZ,600243.SH,603825.SH,688365.SH
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
0,0,1000,0,0
